zero, 0.1 0.1 0.1 500 3500;
full, 99.9 99.9 99.9 500 3500;
acoustic_tiles, 40. 58. 53. 88 2840;
audience, 40. 98. 91.5 500 3500;
brick, 2. 4. 5. 500 3500;
carpet, 6. 37. 63. 500 3500;
carpet_thin, 5. 20. 44. 355 2840;
drywall, 19. 50. 68. 355 2840;
grass, 40. 35. 32. 500 3500;
metal, 76. 95. 77. 500 3500;
sand, 35. 50. 67.5 500 3500;
trees, 54. 47. 43. 500 3500;
